role,cos_bare_last,cos_bare_mean,cos_context_last,cos_context_mean
psychologist,-0.06317777931690216,-0.01797332614660263,-0.08327937126159668,-0.08714126795530319
publisher,0.051707491278648376,0.051707491278648376,-0.10129571706056595,-0.10574313253164291
purist,-0.025992263108491898,0.019401125609874725,-0.035565443336963654,-0.035565443336963654
realist,-0.057536542415618896,-0.008972715586423874,-0.07175829261541367,-0.07175829261541367
rebel,-0.06102956086397171,-0.022139612585306168,-0.07735879719257355,-0.0929744765162468
recruiter,-0.08782351016998291,-0.07507108896970749,-0.10793723165988922,-0.11810909956693649
refugee,-0.06193944811820984,-0.05731862038373947,-0.06609215587377548,-0.0892055332660675
reporter,-0.06762401759624481,-0.026597853749990463,-0.0869079977273941,-0.10274779051542282
researcher,-0.080241858959198,-0.03145444393157959,-0.1259835809469223,-0.10447670519351959
retiree,-0.057365596294403076,-0.05039697140455246,-0.10521136224269867,-0.10521136224269867
revenant,-0.02729974314570427,-0.011892609298229218,-0.02332846075296402,-0.02332846075296402
reviewer,-0.09686197340488434,-0.05406605079770088,-0.09446278214454651,-0.10947208106517792
revolutionary,-0.09333543479442596,-0.035329245030879974,-0.08543682098388672,-0.09649868309497833
robot,0.09739343076944351,0.09739343076944351,-0.030185014009475708,-0.06222563982009888
rogue,-0.025232210755348206,0.020924992859363556,-0.05703149735927582,-0.07272776961326599
romantic,-0.08470146358013153,-0.039746932685375214,-0.09219664335250854,-0.10234963893890381
saboteur,-0.024803150445222855,-0.028292492032051086,-0.04413192719221115,-0.05303550511598587
sage,-0.03863585740327835,-0.001223057508468628,-0.07741666585206985,-0.08908984065055847
scheduler,0.08199699968099594,0.08199699968099594,-0.05137764662504196,-0.08437355607748032
scholar,-0.1093333512544632,-0.0488404706120491,-0.12695398926734924,-0.10992462933063507
scientist,-0.07311093807220459,-0.02012542262673378,-0.1085183322429657,-0.10705288499593735
scout,-0.031238505616784096,0.009272173047065735,-0.04020814597606659,-0.06469397991895676
screener,-0.05047868192195892,-0.049853309988975525,-0.04929470270872116,-0.04929470270872116
secretary,-0.03528440743684769,0.00913882628083229,-0.04413894563913345,-0.0756172388792038
shaman,-0.01912827044725418,0.01316060870885849,-0.0365750677883625,-0.0365750677883625
shapeshifter,-0.0327119417488575,-0.0015711188316345215,-0.06726771593093872,-0.0452900230884552
simulacrum,-0.004593409597873688,-0.02175046131014824,0.0272064246237278,-0.007115945219993591
skeptic,-0.09640419483184814,-0.07237616926431656,-0.12387215346097946,-0.12348692119121552
smuggler,-0.03477862849831581,-0.011125419288873672,-0.04295960068702698,-0.04295960068702698
sociologist,-0.059693191200494766,-0.05155294016003609,-0.08580520004034042,-0.08580520004034042
soldier,-0.01975645124912262,0.02739473432302475,-0.04218883067369461,-0.07697048783302307
sommelier,-0.027549706399440765,-0.019550256431102753,-0.09682370722293854,-0.08529889583587646
specialist,-0.0731980949640274,-0.017356935888528824,-0.11025707423686981,-0.10282982885837555
spirit,0.0666230320930481,0.0666230320930481,-0.030476681888103485,-0.0743999034166336
spy,0.09526146203279495,0.09526146203279495,-0.06019005924463272,-0.07892733812332153
statistician,-0.052741385996341705,-0.04807780683040619,-0.09738338738679886,-0.09738338738679886
stoic,-0.03152530640363693,0.02221120148897171,-0.04889359325170517,-0.04889359325170517
strategist,-0.09273339807987213,-0.07514461129903793,-0.10044645518064499,-0.1034952774643898
student,0.09435785561800003,0.09435785561800003,-0.10868752747774124,-0.09875336289405823
summarizer,-0.06324565410614014,-0.08265210688114166,-0.09092313051223755,-0.09092313051223755
supervisor,-0.06604929268360138,-0.022379614412784576,-0.09474226087331772,-0.08539297431707382
surfer,0.0007837042212486267,0.023660246282815933,-0.0015152022242546082,-0.0015152022242546082
survivor,-0.07383573055267334,-0.07649285346269608,-0.10230415314435959,-0.10764876008033752
swarm,0.009435363113880157,0.039596736431121826,0.02162274345755577,-0.035882145166397095
symbiont,-0.06088971346616745,-0.04579782485961914,-0.04963425174355507,-0.0429244190454483
synthesizer,-0.016251131892204285,0.0015253350138664246,-0.042062170803546906,-0.042062170803546906
teacher,0.06771299988031387,0.06771299988031387,-0.11331687867641449,-0.10976167023181915
technologist,-0.045822106301784515,-0.0014512017369270325,-0.08458355814218521,-0.08458355814218521
teenager,-0.04950425401329994,-0.007475595921278,-0.07805858552455902,-0.08327208459377289
theorist,-0.08380308747291565,-0.07340192794799805,-0.11770448088645935,-0.11770448088645935
therapist,-0.06475692987442017,-0.025408323854207993,-0.09251908957958221,-0.09027381986379623
toddler,-0.04601970314979553,-0.020563028752803802,-0.04453105852007866,-0.08519800752401352
traditionalist,-0.08169155567884445,-0.03411336615681648,-0.09714782238006592,-0.09714782238006592
trainer,0.09279998391866684,0.09279998391866684,-0.09139221906661987,-0.1043417751789093
translator,0.10069791972637177,0.10069791972637177,-0.07323571294546127,-0.07998962700366974
tree,0.08096214383840561,0.08096214383840561,-0.0575081892311573,-0.08529367297887802
trickster,-0.025234971195459366,-0.01900610327720642,-0.024539124220609665,-0.024539124220609665
tulpa,-0.030070604756474495,-0.02491327002644539,-0.029693860560655594,-0.029693860560655594
tutor,-0.07414108514785767,-0.03591334819793701,-0.12184520065784454,-0.12407265603542328
