role,norm,dim,max_abs,mean_abs,norm_centered,score_at_alpha_1_0,score_at_alpha_1_5,score_at_alpha_2_0,score_at_alpha_2_5,delta_high_minus_low,score_slope,score_curve_r2,peak_alpha,late_alpha_drop,monotonic,subdim_consistency,sub25_cmp_emotional_register,sub25_cmp_vocab_choice,sub25_cmp_social_dynamic,sub25_cmp_motivation,sub25_cmp_worldview_alignment,n_questions_total
amnesiac,4.1106061935424805,4096,1.4078903198242188,0.04347296804189682,1.5158131,39.49561403508772,46.271929824561404,63.51315789473684,79.15350877192982,39.6578947368421,27.24298245614035,0.9717990612158937,2.5,0.0,True,12.029317069147904,59.078947368421055,61.18421052631579,61.79824561403509,64.58333333333333,59.99122807017544,912
analyst,3.5320725440979004,4096,0.8443756103515625,0.03813988342881203,1.3815856,86.3201754385965,85.31140350877193,84.50877192982456,81.89035087719299,-4.429824561403507,-2.818421052631578,0.920961769810609,1.0,4.429824561403507,False,4.100135711727768,59.078947368421055,56.53508771929825,56.60087719298246,71.29385964912281,66.2719298245614,912
anarchist,3.876178026199341,4096,1.1170988082885742,0.040182359516620636,1.5060836,30.385964912280702,36.57017543859649,45.64912280701754,57.3421052631579,26.956140350877195,17.989473684210527,0.9815814900764075,2.5,0.0,True,11.722085936175102,48.79385964912281,51.271929824561404,47.10526315789474,49.29824561403509,43.43421052631579,912
ancient,3.9697999954223633,4096,1.1526556015014648,0.04353753477334976,1.4149212,42.99561403508772,44.26315789473684,47.98684210526316,51.083333333333336,8.087719298245617,5.597368421052633,0.967594401391703,2.5,0.0,True,3.8727008866155552,33.37719298245614,32.828947368421055,35.35087719298246,49.69298245614035,37.89473684210526,912
angel,4.3454155921936035,4096,1.2466402053833008,0.04596681892871857,2.1176631,65.93859649122807,72.46929824561404,82.94298245614036,89.60087719298245,23.662280701754383,16.292105263157893,0.990997825432422,2.5,0.0,True,12.824408640839255,71.68859649122807,66.2719298245614,68.42105263157895,71.8859649122807,66.8201754385965,912
anthropologist,3.6761772632598877,4096,1.163280963897705,0.0388476699590683,1.3824838,61.75438596491228,65.48684210526316,71.15789473684211,75.2280701754386,13.473684210526322,9.218421052631582,0.9938724428258737,2.5,0.0,True,2.6960274070559427,64.56140350877193,59.276315789473685,60.6140350877193,67.32456140350877,62.1140350877193,912
archaeologist,3.410331964492798,4096,0.9903120994567871,0.03563204035162926,1.101248,44.71491228070175,48.62719298245614,53.14035087719298,58.15350877192982,13.438596491228068,8.96578947368421,0.996988730428559,2.5,0.0,True,19.03915657746337,2.969298245614035,2.6578947368421053,2.986842105263158,3.2280701754385963,3.1447368421052633,912
architect,3.2971901893615723,4096,0.9032812118530273,0.035314757376909256,1.3906369,54.61572052401747,56.11353711790393,57.39737991266376,58.49561403508772,3.87989351107025,2.5847046655941157,0.9952380432988432,2.5,0.0,True,1.8696155460228971,57.719298245614034,52.719298245614034,52.21491228070175,62.01754385964912,56.49122807017544,915
archivist,3.833325147628784,4096,0.8789844512939453,0.042831793427467346,1.8679497,59.04824561403509,62.48684210526316,71.85526315789474,78.8640350877193,19.815789473684212,13.763157894736844,0.9727928242490612,2.5,0.0,True,6.894143618083656,63.55263157894737,62.41228070175438,61.469298245614034,69.9342105263158,65.75877192982456,912
artisan,3.7969985008239746,4096,1.267578125,0.039105817675590515,1.6495258,56.49781659388646,64.28384279475982,74.96943231441048,81.68859649122807,25.190779897341606,17.251585842335096,0.9929492969469607,2.5,0.0,True,7.5879814826672884,68.53070175438596,64.34210526315789,65.35087719298245,73.1140350877193,69.33771929824562,915
ascetic,3.533341646194458,4096,0.9535160064697266,0.03877613693475723,1.2879874,34.10964912280702,37.04824561403509,38.95614035087719,42.00438596491228,7.89473684210526,5.118421052631577,0.9927643304673007,2.5,0.0,True,4.570351851876008,28.57456140350877,31.337719298245613,32.34649122807018,34.01315789473684,26.07456140350877,912
assistant,3.498568534851074,4096,1.0284371376037598,0.0371272973716259,1.1670027,94.70614035087719,94.29385964912281,92.82894736842105,89.46491228070175,-5.241228070175438,-3.4377192982456135,0.8696582845685454,1.0,5.241228070175438,False,5.6390358256579045,69.75877192982456,63.530701754385966,66.46929824561404,77.45614035087719,73.28070175438596,912
