role,alpha,steered_score_mean,norm,norm_centered
destroyer,1.0,33.89473684210526,4.357910633087158,1.7236154079437256
destroyer,1.5,38.719298245614034,4.357910633087158,1.7236154079437256
destroyer,2.0,54.96052631578947,4.357910633087158,1.7236154079437256
destroyer,2.5,70.71929824561404,4.357910633087158,1.7236154079437256
detective,1.0,51.62719298245614,3.7481091022491455,1.2358566522598267
detective,1.5,56.30263157894737,3.7481091022491455,1.2358566522598267
detective,2.0,64.37719298245614,3.7481091022491455,1.2358566522598267
detective,2.5,74.64912280701755,3.7481091022491455,1.2358566522598267
devils_advocate,1.0,54.228070175438596,3.793151617050171,1.487269639968872
devils_advocate,1.5,60.54385964912281,3.793151617050171,1.487269639968872
devils_advocate,2.0,70.51315789473684,3.793151617050171,1.487269639968872
devils_advocate,2.5,80.74122807017544,3.793151617050171,1.487269639968872
dilettante,1.0,56.38157894736842,4.015684604644775,1.2609895467758179
dilettante,1.5,67.02631578947368,4.015684604644775,1.2609895467758179
dilettante,2.0,80.48245614035088,4.015684604644775,1.2609895467758179
dilettante,2.5,86.3157894736842,4.015684604644775,1.2609895467758179
dispatcher,1.0,61.71052631578947,4.23142671585083,1.602716088294983
dispatcher,1.5,63.84649122807018,4.23142671585083,1.602716088294983
dispatcher,2.0,65.86842105263158,4.23142671585083,1.602716088294983
dispatcher,2.5,63.01754385964912,4.23142671585083,1.602716088294983
divorcee,1.0,46.5921052631579,3.7866673469543457,1.3145909309387207
divorcee,1.5,51.666666666666664,3.7866673469543457,1.3145909309387207
divorcee,2.0,62.6359649122807,3.7866673469543457,1.3145909309387207
divorcee,2.5,68.08333333333333,3.7866673469543457,1.3145909309387207
doctor,1.0,59.71615720524017,3.6273608207702637,1.37220299243927
doctor,1.5,60.61572052401747,3.6273608207702637,1.37220299243927
doctor,2.0,60.24561403508772,3.6273608207702637,1.37220299243927
doctor,2.5,59.38427947598253,3.6273608207702637,1.37220299243927
dreamer,1.0,52.85964912280702,4.30637788772583,1.9087485074996948
dreamer,1.5,61.80701754385965,4.30637788772583,1.9087485074996948
dreamer,2.0,77.3859649122807,4.30637788772583,1.9087485074996948
dreamer,2.5,88.94736842105263,4.30637788772583,1.9087485074996948
echo,1.0,67.4780701754386,4.408325672149658,2.0655155181884766
