role,steered_auc,aa_auc,auc_advantage,steered_monotonic,aa_monotonic,steered_peak_alpha,aa_peak_alpha,steered_slope,aa_slope,slope_advantage,steered_score_1_0,steered_score_2_5,aa_score_1_0,aa_score_2_5,steered_gain,aa_gain
predator,33.44298245614035,12.88230994152047,20.56067251461988,True,False,2.5,1.5,31.404385964912258,-4.72894736842105,36.13333333333331,16.767543859649123,64.19736842105263,14.56578947368421,7.5,47.42982456140351,-7.065789473684211
presenter,86.25584795321636,54.90716374269005,31.348684210526308,False,False,2.0,1.0,2.7833333333333203,-42.221929824561386,45.0052631578947,82.69298245614036,86.67543859649123,75.9342105263158,15.0,3.9824561403508767,-60.934210526315795
prey,55.59722222222222,32.20102339181287,23.396198830409354,True,False,2.5,1.5,32.87719298245612,-7.701754385964907,40.57894736842103,33.89912280701754,81.65789473684211,33.95614035087719,22.083333333333332,47.75877192982457,-11.87280701754386
prisoner,45.478801169590646,25.57456140350877,19.904239766081876,True,False,2.5,1.5,20.10438596491227,-8.30350877192982,28.407894736842092,33.25,63.1140350877193,28.24561403508772,16.359649122807017,29.8640350877193,-11.885964912280702
procrastinator,51.90350877192983,46.11695906432749,5.78654970760234,True,False,2.5,2.0,23.60175438596489,6.815789473684208,16.785964912280683,36.69298245614035,70.90350877192982,38.37719298245614,46.921052631578945,34.21052631578947,8.543859649122808
prodigy,80.33333333333333,13.81578947368421,66.51754385964912,False,True,2.0,1.0,7.041228070175445,-3.5477534839953437e-15,7.041228070175449,73.06140350877193,82.98245614035088,13.81578947368421,13.81578947368421,9.921052631578945,0.0
producer,75.61988304093568,54.42836257309941,21.191520467836263,False,False,2.0,1.5,2.2640350877193,-37.17894736842102,39.44298245614032,73.34210526315789,76.45614035087719,70.46929824561404,15.679824561403509,3.1140350877193015,-54.789473684210535
programmer,67.43567251461988,17.346491228070175,50.0891812865497,False,True,2.0,1.0,1.9640350877192945,-3.099559640942566e-15,1.9640350877192976,64.55263157894737,66.89473684210526,17.346491228070175,17.346491228070175,2.3421052631578902,0.0
proofreader,48.730994152046776,37.52704678362573,11.203947368421048,False,False,2.5,1.5,0.47982456140350394,-30.51403508771928,30.993859649122783,48.59649122807018,49.271929824561404,49.73684210526316,5.504385964912281,0.675438596491226,-44.23245614035088
prophet,62.75,39.421783625730995,23.328216374269005,True,False,2.5,1.5,27.705263157894716,-18.11754385964911,45.82280701754382,44.33771929824562,84.26754385964912,42.28508771929825,13.114035087719298,39.92982456140351,-29.17105263157895
provincial,60.97076023391813,44.80190058479533,16.1688596491228,True,False,2.5,2.0,23.164912280701746,-13.114035087719293,36.278947368421036,45.43859649122807,79.50877192982456,44.828947368421055,22.93859649122807,34.07017543859649,-21.890350877192986
provocateur,54.23903508771931,33.13815789473684,21.100877192982466,True,False,2.5,2.0,29.380701754385946,-9.978947368421046,39.35964912280699,36.57017543859649,78.80263157894737,33.09649122807018,15.986842105263158,42.23245614035088,-17.10964912280702
psychologist,69.5343567251462,18.596491228070175,50.93786549707602,False,True,1.0,1.0,-0.7622807017543775,3.500442098719888e-16,-0.7622807017543778,70.08333333333333,68.96491228070175,18.596491228070175,18.596491228070175,-1.1184210526315752,0.0
publisher,64.06944444444444,43.23830409356725,20.83114035087719,True,False,2.5,1.0,5.398245614035088,-29.442982456140335,34.841228070175426,60.24561403508772,68.25,55.98245614035088,12.105263157894736,8.00438596491228,-43.87719298245614
purist,72.01315789473684,55.69590643274854,16.3172514619883,True,False,2.5,1.5,5.920175438596477,-25.703508771929805,31.62368421052628,68.42543859649123,77.5219298245614,62.8421052631579,22.19298245614035,9.096491228070164,-40.64912280701755
realist,86.44444444444444,18.837719298245613,67.60672514619883,False,True,2.0,1.0,1.4885964912280611,1.3094603600963226e-15,1.4885964912280598,84.3157894736842,86.35964912280701,18.837719298245613,18.837719298245613,2.0438596491228083,0.0
rebel,46.99269005847953,38.62061403508772,8.372076023391813,True,False,2.5,2.0,18.668421052631572,-11.059649122807013,29.728070175438585,35.69298245614035,63.12280701754386,37.70175438596491,17.82017543859649,27.429824561403514,-19.88157894736842
recruiter,64.26315789473684,49.58991228070175,14.673245614035082,False,False,2.0,1.5,2.4561403508771935,-32.019298245614024,34.475438596491216,61.75877192982456,64.76754385964912,62.728070175438596,15.855263157894736,3.0087719298245617,-46.87280701754386
refugee,44.706140350877185,30.019005847953213,14.687134502923971,True,False,2.5,1.5,14.420175438596488,-6.992105263157898,21.412280701754383,35.21491228070175,57.15350877192982,31.228070175438596,20.842105263157894,21.93859649122807,-10.385964912280702
reporter,77.33260233918129,47.04093567251462,30.29166666666667,False,False,2.0,1.5,8.937719298245616,-33.7298245614035,42.667543859649115,68.4780701754386,81.13157894736842,61.925438596491226,13.092105263157896,12.653508771929822,-48.83333333333333
