role,alpha,total,steered_missing,steered_malformed,steered_duplicate,baseline_missing,baseline_malformed,assistant_axis_missing,assistant_axis_malformed,assistant_axis_duplicate
ghost,2.0,228,0,0,0,0,0,0,0,0
ghost,2.5,228,0,0,0,0,0,0,0,0
golem,1.0,228,0,0,0,0,0,0,0,0
golem,1.5,228,0,0,0,0,0,0,0,0
golem,2.0,228,0,0,0,0,0,0,0,0
golem,2.5,228,0,0,0,0,0,0,0,0
gossip,1.0,228,0,0,0,0,0,0,0,0
gossip,1.5,228,0,0,0,0,0,0,0,0
gossip,2.0,228,0,0,0,0,0,0,0,0
gossip,2.5,228,0,0,0,0,0,0,0,0
grader,1.0,228,0,0,0,0,0,0,0,0
grader,1.5,228,0,0,0,0,0,0,0,0
grader,2.0,228,0,0,0,0,0,0,0,0
grader,2.5,228,0,0,0,0,0,0,0,0
graduate,1.0,228,0,0,0,0,0,0,0,0
graduate,1.5,228,0,0,0,0,0,0,0,0
graduate,2.0,228,0,0,0,0,1,0,0,0
graduate,2.5,228,0,0,0,0,1,0,0,0
grandparent,1.0,228,0,0,0,0,0,0,0,0
grandparent,1.5,228,0,0,0,0,0,0,0,0
grandparent,2.0,228,0,0,0,0,0,0,0,0
grandparent,2.5,228,0,0,0,0,0,0,0,0
guardian,1.0,228,0,0,0,0,0,0,0,0
guardian,1.5,228,0,0,0,0,0,0,0,0
guardian,2.0,228,0,0,0,0,0,0,0,0
guardian,2.5,228,0,0,0,0,0,0,0,0
guide,1.0,228,0,0,0,0,0,0,0,0
guide,1.5,228,0,0,0,0,0,0,0,0
guide,2.0,228,0,0,0,0,0,0,0,0
guide,2.5,228,0,0,0,0,0,0,0,0
guru,1.0,228,33,0,0,33,0,0,0,0
guru,1.5,228,33,0,0,33,0,0,0,0
guru,2.0,228,33,0,0,33,0,0,0,0
guru,2.5,228,33,0,0,33,0,33,0,0
hacker,1.0,228,0,0,0,0,0,0,0,228
hacker,1.5,228,0,0,0,0,0,0,0,228
hacker,2.0,228,0,0,0,0,0,0,0,228
hacker,2.5,228,0,0,0,0,0,0,0,228
healer,1.0,228,0,0,0,0,0,0,0,0
healer,1.5,228,0,0,0,0,0,0,0,0
healer,2.0,228,0,0,0,0,0,0,0,0
healer,2.5,228,0,0,0,0,0,0,0,0
hedonist,1.0,229,229,0,0,229,0,0,0,0
hedonist,1.5,229,229,0,0,229,0,0,0,0
hedonist,2.0,229,229,0,0,229,0,0,0,0
hedonist,2.5,229,229,0,0,229,0,229,0,0
hermit,1.0,228,0,0,0,0,0,0,0,0
hermit,1.5,228,0,0,0,0,0,0,0,0
hermit,2.0,228,0,0,0,0,0,0,0,0
hermit,2.5,228,0,0,0,0,0,0,0,0
historian,1.0,228,106,0,0,106,0,0,0,0
historian,1.5,228,106,0,0,106,0,0,0,0
historian,2.0,228,106,0,0,106,0,0,0,0
historian,2.5,228,106,0,0,106,0,106,0,0
hive,1.0,228,0,0,0,0,0,0,0,0
hive,1.5,228,0,0,0,0,0,0,0,0
hive,2.0,228,0,0,0,0,0,0,0,0
hive,2.5,228,0,0,0,0,0,0,0,0
hoarder,1.0,228,0,0,0,0,0,0,0,0
hoarder,1.5,228,0,0,0,0,0,0,0,0
hoarder,2.0,228,0,0,0,0,0,0,0,0
hoarder,2.5,228,0,0,0,0,0,0,0,0
homunculus,1.0,228,0,0,0,0,0,0,0,0
homunculus,1.5,228,0,0,0,0,0,0,0,0
homunculus,2.0,228,0,0,0,0,0,0,0,0
homunculus,2.5,228,0,0,0,0,0,0,0,0
hybrid,1.0,228,0,0,0,0,0,0,0,0
hybrid,1.5,228,0,0,0,0,0,0,0,0
hybrid,2.0,228,0,0,0,0,0,0,0,0
hybrid,2.5,228,0,0,0,0,0,0,0,0
idealist,1.0,228,0,0,0,0,0,0,0,0
idealist,1.5,228,0,0,0,0,0,0,0,0
idealist,2.0,228,0,0,0,0,0,0,0,0
idealist,2.5,228,0,0,0,0,0,0,0,0
immigrant,1.0,228,0,0,0,0,0,0,0,0
immigrant,1.5,228,0,0,0,0,1,0,0,0
immigrant,2.0,228,0,0,0,0,1,0,0,0
immigrant,2.5,228,0,0,0,0,1,0,0,0
improviser,1.0,228,0,0,0,0,0,0,0,0
improviser,1.5,228,0,0,0,0,0,0,0,0
improviser,2.0,228,0,0,0,0,0,0,0,0
improviser,2.5,228,0,0,0,0,0,0,0,0
infant,1.0,228,0,0,0,0,0,0,0,0
infant,1.5,228,0,0,0,0,0,0,0,0
infant,2.0,228,0,0,0,0,0,0,0,0
infant,2.5,228,0,0,0,0,0,0,0,0
influencer,1.0,228,0,0,0,0,0,0,0,0
influencer,1.5,228,0,0,0,0,0,0,0,0
influencer,2.0,228,0,0,0,0,0,0,0,0
influencer,2.5,228,0,1,0,0,0,0,0,0
instructor,1.0,228,0,0,0,0,0,0,0,228
instructor,1.5,228,0,0,0,0,0,0,0,228
instructor,2.0,228,0,0,0,0,0,0,0,228
instructor,2.5,228,0,0,0,0,0,0,0,228
interpreter,1.0,228,0,0,0,0,0,0,0,0
interpreter,1.5,228,0,0,0,0,0,0,0,0
interpreter,2.0,228,0,0,0,0,0,0,0,0
interpreter,2.5,228,0,0,0,0,0,0,0,0
interviewer,1.0,228,0,0,0,0,0,0,0,0
interviewer,1.5,228,0,0,0,0,0,0,0,0
interviewer,2.0,228,0,0,0,0,0,0,0,0
interviewer,2.5,228,0,0,0,0,0,0,0,0
jester,1.0,228,0,0,0,0,0,0,0,0
jester,1.5,228,0,0,0,0,0,0,0,0
jester,2.0,228,0,0,0,0,0,0,0,0
jester,2.5,228,0,0,0,0,0,0,0,0
judge,1.0,228,0,0,0,0,0,0,0,0
judge,1.5,228,0,0,0,0,0,0,0,0
judge,2.0,228,0,0,0,0,0,0,0,0
judge,2.5,228,0,0,0,0,0,0,0,0
lawyer,1.0,229,131,0,0,131,0,0,0,0
lawyer,1.5,229,131,0,0,131,0,0,0,0
lawyer,2.0,229,131,0,0,131,0,0,0,0
lawyer,2.5,229,131,0,0,131,0,131,0,0
leviathan,1.0,228,0,0,0,0,0,0,0,0
leviathan,1.5,228,0,0,0,0,0,0,0,0
leviathan,2.0,228,0,0,0,0,0,0,0,0
leviathan,2.5,228,0,0,0,0,0,0,0,0
librarian,1.0,228,0,0,0,0,0,0,0,0
librarian,1.5,228,0,0,0,0,0,0,0,0
librarian,2.0,228,0,0,0,0,0,0,0,0
librarian,2.5,228,0,0,0,0,0,0,0,0
linguist,1.0,228,0,0,0,0,0,0,0,0
