O*NET-SOC Code	Element Name
27-2012.03	Critical Thinking
27-2012.03	Coordination
27-2012.03	Judgment and Decision Making
27-2012.04	Reading Comprehension
27-2012.04	Active Listening
27-2012.04	Speaking
27-2012.04	Critical Thinking
27-2012.04	Social Perceptiveness
27-2012.05	Active Listening
27-2012.05	Speaking
27-2012.05	Critical Thinking
27-2012.05	Monitoring
27-2012.05	Coordination
27-2021.00	Active Listening
27-2021.00	Speaking
27-2021.00	Critical Thinking
27-2021.00	Monitoring
27-2021.00	Coordination
27-2022.00	Reading Comprehension
27-2022.00	Speaking
27-2022.00	Learning Strategies
27-2022.00	Monitoring
27-2022.00	Instructing
27-2031.00	Active Listening
27-2031.00	Speaking
27-2031.00	Critical Thinking
27-2031.00	Monitoring
27-2031.00	Coordination
27-2041.00	Reading Comprehension
27-2041.00	Active Listening
27-2041.00	Speaking
27-2041.00	Critical Thinking
27-2041.00	Judgment and Decision Making
27-2042.00	Reading Comprehension
27-2042.00	Active Listening
27-2042.00	Speaking
27-2042.00	Monitoring
27-2042.00	Social Perceptiveness
27-3011.00	Reading Comprehension
27-3011.00	Active Listening
27-3011.00	Speaking
27-3011.00	Critical Thinking
27-3011.00	Social Perceptiveness
27-3041.00	Reading Comprehension
27-3041.00	Active Listening
27-3041.00	Writing
27-3041.00	Speaking
27-3041.00	Critical Thinking
27-3042.00	Reading Comprehension
27-3042.00	Active Listening
27-3042.00	Writing
27-3042.00	Speaking
27-3042.00	Critical Thinking
27-3043.00	Reading Comprehension
27-3043.00	Active Listening
27-3043.00	Writing
27-3043.00	Speaking
27-3043.00	Critical Thinking
27-3091.00	Reading Comprehension
27-3091.00	Active Listening
27-3091.00	Writing
27-3091.00	Speaking
27-3091.00	Critical Thinking
27-3092.00	Reading Comprehension
27-3092.00	Active Listening
27-3092.00	Writing
27-3092.00	Speaking
27-3092.00	Monitoring
27-4011.00	Reading Comprehension
27-4011.00	Critical Thinking
27-4011.00	Monitoring
27-4011.00	Complex Problem Solving
27-4011.00	Operations Monitoring
27-4012.00	Active Listening
27-4012.00	Writing
27-4012.00	Critical Thinking
27-4012.00	Monitoring
27-4012.00	Operations Monitoring
27-4031.00	Reading Comprehension
27-4031.00	Active Listening
27-4031.00	Speaking
27-4031.00	Coordination
27-4031.00	Judgment and Decision Making
27-4032.00	Reading Comprehension
27-4032.00	Active Listening
27-4032.00	Speaking
27-4032.00	Critical Thinking
27-4032.00	Active Learning
